월,날짜,시간,온도
1,1,0,-6.3
1,1,100,-4.4
1,1,200,-2.8
1,1,300,-1.1
1,1,400,-0.3
1,1,500,-0.3
1,1,600,-1.7
1,1,700,-2.1
1,1,800,-2.2
1,1,900,-2.3
1,1,1000,-3.5
1,1,1100,-5.8
1,1,1200,-4.8
1,1,1300,-5.4
1,1,1400,-6.6
1,1,1500,-7.2
1,1,1600,-7.5
1,1,1700,-8.2
1,1,1800,-8.7
1,1,1900,-9.4
1,1,2000,-10.4
1,1,2100,-11
1,1,2200,-11.2
1,1,2300,-8.4
1,2,0,-5.2
1,2,100,-2.4
1,2,200,-1.8
1,2,300,-1.4
1,2,400,-1
1,2,500,-1
1,2,600,-2.1
1,2,700,-2.6
1,2,800,-3.5
1,2,900,-4.8
1,2,1000,-6.8
1,2,1100,-8.3
1,2,1200,-8.7
1,2,1300,-9.1
1,2,1400,-9.6
1,2,1500,-9.6
1,2,1600,-8.1
1,2,1700,-9.6
1,2,1800,-10.4
1,2,1900,-10.6
1,2,2000,-10.9
1,2,2100,-11.2
1,2,2200,-11.7
1,2,2300,-9.1
1,3,0,-5.2
1,3,100,-1.4
1,3,200,-1.6
1,3,300,-0.9
1,3,400,-0.2
1,3,500,-1
1,3,600,-1.6
1,3,700,-2.2
1,3,800,-3.6
1,3,900,-4.8
1,3,1000,-6.6
1,3,1100,-6.9
1,3,1200,-7.3
1,3,1300,-8.5
1,3,1400,-9.2
1,3,1500,-9.6
1,3,1600,-10
1,3,1700,-10
1,3,1800,-10.2
1,3,1900,-10.4
1,3,2000,-10.4
1,3,2100,-9.6
1,3,2200,-8.4
1,3,2300,-6.7
1,4,0,-3.9
1,4,100,-0.8
1,4,200,0.3
1,4,300,1.2
1,4,400,1.3
1,4,500,2.2
1,4,600,1.4
1,4,700,0.3
1,4,800,-0.4
1,4,900,-2.4
1,4,1000,-2.2
1,4,1100,-2.3
1,4,1200,-2.1
1,4,1300,2.1
1,4,1400,-0.8
1,4,1500,-0.9
1,4,1600,-1
1,4,1700,-1.1
1,4,1800,-2.9
1,4,1900,-4.5
1,4,2000,-5
1,4,2100,-5.5
1,4,2200,-3.3
1,4,2300,-3.7
1,5,0,-3.3
1,5,100,-2.8
1,5,200,-2.9
1,5,300,-3.2
1,5,400,-3.1
1,5,500,-2.4
1,5,600,-3.6
1,5,700,-4.3
1,5,800,-5.2
1,5,900,-6
1,5,1000,-5.9
1,5,1100,-8.2
1,5,1200,-9.2
1,5,1300,-9.5
1,5,1400,-10
1,5,1500,-10.1
1,5,1600,-10
1,5,1700,-9.7
1,5,1800,-10.8
1,5,1900,-11.3
1,5,2000,-12.3
1,5,2100,-13
1,5,2200,-13.1
1,5,2300,-9.8
1,6,0,-6.5
1,6,100,-5.5
1,6,200,-4.5
1,6,300,-3.3
1,6,400,-3.4
1,6,500,-2.2
1,6,600,-3.3
1,6,700,-4.9
1,6,800,-4.8
1,6,900,-4.9
1,6,1000,-4.6
1,6,1100,-4.2
1,6,1200,-3.6
1,6,1300,-3.3
1,6,1400,-7.1
1,6,1500,-7.7
1,6,1600,-10
1,6,1700,-11.2
1,6,1800,-11.9
1,6,1900,-11.7
1,6,2000,-12.1
1,6,2100,-12.4
1,6,2200,-12.5
1,6,2300,-12.2
1,7,0,-12.7
1,7,100,-12.4
1,7,200,-12.4
1,7,300,-11
1,7,400,-11.4
1,7,500,-10.6
1,7,600,-11.7
1,7,700,-13.7
1,7,800,-14.1
1,7,900,-16
1,7,1000,-18.200001
1,7,1100,-19.299999
1,7,1200,-19.4
1,7,1300,-19.700001
1,7,1400,-19.9
1,7,1500,-20.6
1,7,1600,-20.4
1,7,1700,-17.299999
1,7,1800,-16.299999
1,7,1900,-16.700001
1,7,2000,-17.700001
1,7,2100,-20.299999
1,7,2200,-20.9
1,7,2300,-18.1
1,8,0,-13.6
1,8,100,-13.4
1,8,200,-11.7
1,8,300,-11.9
1,8,400,-11.7
1,8,500,-11.3
1,8,600,-11.6
1,8,700,-12.3
1,8,800,-13.8
1,8,900,-13.9
1,8,1000,-13.8
1,8,1100,-13.5
1,8,1200,-13.7
1,8,1300,-14.5
1,8,1400,-16.6
1,8,1500,-17.4
1,8,1600,-19.200001
1,8,1700,-19.700001
1,8,1800,-21.1
1,8,1900,-21.299999
1,8,2000,-21.4
1,8,2100,-21.9
1,8,2200,-22
1,8,2300,-18.700001
1,9,0,-13.6
1,9,100,-9.6
1,9,200,-9.4
1,9,300,-9
1,9,400,-9.5
1,9,500,-8.7
1,9,600,-9.4
1,9,700,-10.1
1,9,800,-11.3
1,9,900,-13.4
1,9,1000,-12.2
1,9,1100,-12
1,9,1200,-13.7
1,9,1300,-13.4
1,9,1400,-14.6
1,9,1500,-15.9
1,9,1600,-16.9
1,9,1700,-17.299999
1,9,1800,-18.1
1,9,1900,-18.5
1,9,2000,-18.200001
1,9,2100,-18.9
1,9,2200,-18
1,9,2300,-15.5
1,10,0,-10.4
1,10,100,-8.2
1,10,200,-4.8
1,10,300,-3.7
1,10,400,-2.9
1,10,500,-3
1,10,600,-3.4
1,10,700,-3.9
1,10,800,-5
1,10,900,-7.7
1,10,1000,-9.8
1,10,1100,-9
1,10,1200,-9.2
1,10,1300,-10.4
1,10,1400,-12
1,10,1500,-11.7
