날짜,시간,풍속(m/s)
1,0,3.5
1,100,5.9
1,200,5.4
1,300,4.7
1,400,4
1,500,4.3
1,600,4.1
1,700,4
1,800,3.7
1,900,2.9
1,1000,2.5
1,1100,3.3
1,1200,2.3
1,1300,2.2
1,1400,2.1
1,1500,1.6
1,1600,1.6
1,1700,1
1,1800,1.9
1,1900,1.1
1,2000,1.5
1,2100,2.3
1,2200,2.6
1,2300,2.3
2,0,1.7
2,100,1.9
2,200,1.8
2,300,2.8
2,400,3.4
2,500,2.2
2,600,2.3
2,700,3.1
2,800,2.4
2,900,2.6
2,1000,2.8
2,1100,2.8
2,1200,0.7
2,1300,0.7
2,1400,0.7
2,1500,0
2,1600,3.5
2,1700,1.8
2,1800,1.5
2,1900,2.2
2,2000,2.9
2,2100,1.8
2,2200,2.2
2,2300,5
3,0,4.7
3,100,4.4
3,200,5.1
3,300,4.3
3,400,5.2
3,500,5.2
3,600,4.1
3,700,3
3,800,3.6
3,900,2.8
3,1000,2.8
3,1100,2.2
3,1200,1.8
3,1300,0.4
3,1400,1.6
3,1500,1.6
3,1600,2.3
3,1700,1.4
3,1800,1.5
3,1900,1
3,2000,0.6
3,2100,1.1
3,2200,1.8
3,2300,1
4,0,0.8
4,100,2.2
4,200,2.7
4,300,4.2
4,400,3.6
4,500,3.6
4,600,3.4
4,700,2.7
4,800,3.9
4,900,2.8
4,1000,3.2
4,1100,1.9
4,1200,1
4,1300,1.2
4,1400,1
4,1500,0.6
4,1600,1.5
4,1700,1.7
4,1800,1.9
4,1900,1.9
4,2000,1.1
4,2100,2.2
4,2200,1.4
4,2300,2.2
5,0,1.9
5,100,2
5,200,1.7
5,300,1.3
5,400,1
5,500,1.1
5,600,0.5
5,700,0.9
5,800,1.4
5,900,1.1
5,1000,0.2
5,1100,0.9
5,1200,1
5,1300,1.9
5,1400,1.4
5,1500,1.6
5,1600,1.2
5,1700,1.9
5,1800,1.7
5,1900,1.8
5,2000,2
5,2100,1.9
5,2200,2
5,2300,2.6
6,0,2.2
6,100,1.7
6,200,1.3
6,300,0.9
6,400,1.5
6,500,0.7
6,600,1.9
6,700,2.5
6,800,1.8
6,900,1.1
6,1000,0.7
6,1100,1.5
6,1200,1.1
6,1300,0.5
6,1400,1.4
6,1500,0.8
6,1600,0.9
6,1700,0.7
6,1800,0.4
6,1900,0.7
6,2000,0.4
6,2100,0.9
6,2200,0.2
6,2300,1.4
7,0,1.1
7,100,1.8
7,200,1.3
7,300,0.9
7,400,0.8
7,500,1.8
7,600,2.3
7,700,1.5
7,800,1.5
7,900,1.8
7,1000,1.9
7,1100,1.3
7,1200,1.4
7,1300,1.5
7,1400,1.8
7,1500,1.2
7,1600,1.9
7,1700,1.3
7,1800,1.1
7,1900,1.8
7,2000,2.1
7,2100,2.4
7,2200,2.3
7,2300,1.9
8,0,1.2
8,100,1
8,200,1.2
8,300,2.4
8,400,1.8
8,500,1.3
8,600,0.8
8,700,1.9
8,800,1.7
8,900,1.7
8,1000,1.4
8,1100,1.1
8,1200,1.4
8,1300,1.7
8,1400,1.7
8,1500,2.4
8,1600,1.6
8,1700,1.5
8,1800,1.6
